,Cycle,A1,A2,A3,B1,B2,C1,C2,D1,D2,E1,E2,F1,F2,G1,G2,H1,H2
,1,103.644175661434,99.511097211016,14.2640218044653,125.975661337032,132.548125374018,102.868239875212,116.254670842213,84.2348386158683,54.5863198977268,-50.2859210638026,-75.9596071150427,44.1127521931376,84.2765329054673,41.8369637593278,46.7179743928746,234.787278474128,198.022552500393
,2,-31.5898885320685,-45.9380306404901,-31.100730365878,34.1051938541623,-1.08203064907229,18.6880711031945,34.6142880407542,26.3603647964756,12.2019409341847,14.8837269878068,40.1860025476408,15.3741410890934,26.9776346294393,25.71408870919,29.42863452442,69.9007894985498,77.8141689342337
,3,-64.3537966353178,-60.545347435519,-28.2031131784415,41.7048215260202,41.1583776402567,23.4310987187928,46.8348700579636,41.8022819943917,33.4350998356458,24.8140276603654,54.1881223685605,21.3311397293255,34.3265937000733,36.1877734992604,30.2282602448977,39.3685228210234,61.4370730115479
,4,-12.0006564323721,10.1379222596088,-18.7043198373531,24.8016691859011,41.1125655215574,37.6997117846668,48.1977611284565,36.5806111180109,38.9962052159917,27.084175787877,56.2074339825449,26.1669110765779,39.2799354606814,33.6141722126031,36.4680665219203,30.4461470284159,42.7163236375663
,5,39.5585054131889,29.6369216398825,-19.5428221728462,51.5831930384775,34.6492122062127,41.3513007580759,39.021986800456,35.2312415281958,31.2349808825675,23.8397027029587,35.8518223011579,26.9169326498341,21.7115330004299,28.0986093484071,24.6575163282923,38.7016246964731,39.3031555396283
,6,28.8249757010717,15.4449415171393,-6.98143963524672,32.7357471802361,30.5528476028712,35.2535850796357,31.5076715968253,31.182186348954,27.038823019645,20.4310724334964,35.216311816851,22.9698465788551,22.706870850111,22.8690440392047,22.3231418075466,28.3605379956789,26.7499194443835
,7,26.005113037083,20.9348051740681,-7.40203635344733,18.9207295112556,25.3084626143855,31.4043904320561,26.6176422997023,19.1218735482025,20.4194390425746,20.5309862265858,21.9159860531527,21.9131022247939,14.8761836165349,22.804882200302,18.5943345726864,19.777521290609,26.0800844855412
,8,16.2970860637242,18.1151545122011,1.62986156260649,4.59321982565689,0.0241323111677048,12.641325137236,5.64497739701255,12.7166680938244,8.82717878814037,9.24590063242158,8.285695185441,12.0054207632547,6.5326512979791,10.4325140042629,4.1349227435212,11.3146047711052,9.94552244974329
,9,13.6136469362127,17.246838006402,3.34826953432912,-3.75734333793025,-11.2338835269293,-0.958211170634058,-13.5546163171111,5.40941212970938,1.84868766752152,5.74814720821996,-9.29475111914326,2.34294106200377,2.3259244468627,0.473737061451175,1.73898798036771,6.48693664512757,3.62913823012786
,10,9.69465351991221,21.9373973040865,4.80825399035075,-25.0776152283161,-30.2974552588003,-9.07989281923619,-27.9130376998264,-7.10687093884735,-16.4617259470169,-1.41896527463996,-22.3701187011002,-2.5519778973221,-7.13288915153953,-0.87844736369334,-4.36778483338185,-0.552995704758359,-7.5982216854818
,11,-5.49472625047747,14.2173452618663,10.0869065642155,-40.2677626948725,-33.7599110692045,-33.4255057613291,-30.3492143065996,-22.2266520266203,-19.6951332277176,-5.10114650702872,-18.2708476670941,-4.26109245668431,-5.84643188518203,-10.7075808757945,-12.7606919417285,-11.5239143938616,-18.0847339521533
,12,-6.5659004612553,4.28419574928466,12.0352101711123,-55.8050537699937,-48.99478247555,-43.6917733585578,-44.9282813174059,-28.7500366809654,-23.7876405245734,-17.847484677287,-34.935886256595,-15.5484185026417,-8.42965492728672,-16.3988727488504,-9.48038605513193,-22.1441672421715,-25.5000454775254
,13,11.2681270789544,22.91658800403,11.1460531692128,-47.4817302364963,-47.6479401583138,-49.4426102562475,-62.20119522607,-35.9897136547033,-46.0907069124132,-25.154422822462,-56.3441498993252,-20.0698296988294,-33.8196237421525,-24.2805951413466,-30.1789702170981,-24.10389891677,-33.6064077102528
,14,12.3918171870137,11.9699860761848,10.7370260463576,-49.2138678124384,-23.4798220303337,-52.4658067693945,-60.294431472671,-45.196594563693,-53.000641086529,-35.6531721988249,-65.1618319799682,-37.8138484393858,-40.1133798105029,-35.3914233371297,-35.9089397741927,-35.5004323984967,-44.45388756187
